"","id","rid","sex","birth","race","educ","marital","children","occupat","arrests","jail","crime01","crime02","crime03","crime04","crime05","crime06","crime07","crime08","crime09","crime10","crime11","crime12","crime13","crime14"
"561","0561","991","1","52","2","10","1","02","00","01","365","14","00","00","00","00","00","00","00","00","00","00","00","00","00"
"562","0562","991","1","54","1","10","1","00","10","01","005","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
"563","0563","991","1","00","2","00","0","00","00","03","033","01","01","01","00","00","00","00","00","00","00","00","00","00","00"
"564","0564","991","1","43","1","12","2","02","20","01","365","25","00","00","00","00","00","00","00","00","00","00","00","00","00"
"565","0565","991","1","45","1","08","6","03","00","01","030","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"566","0566","991","1","40","2","12","2","01","30","01","365","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"567","0567","991","1","00","1","00","0","00","00","01","090","33","00","00","00","00","00","00","00","00","00","00","00","00","00"
"568","0568","991","1","42","1","11","2","02","20","01","005","22","00","00","00","00","00","00","00","00","00","00","00","00","00"
"569","0569","991","1","10","1","16","1","00","50","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"570","0570","991","1","19","1","11","4","02","00","01","005","34","00","00","00","00","00","00","00","00","00","00","00","00","00"
"571","0571","991","1","38","2","11","1","00","20","01","365","13","00","00","00","00","00","00","00","00","00","00","00","00","00"
"572","0572","991","1","23","2","08","2","00","10","01","090","41","00","00","00","00","00","00","00","00","00","00","00","00","00"
"573","0573","991","1","54","1","10","1","00","20","01","060","53","00","00","00","00","00","00","00","00","00","00","00","00","00"
"574","0574","991","1","14","1","14","5","03","20","01","060","32","00","00","00","00","00","00","00","00","00","00","00","00","00"
"575","0575","991","1","00","1","00","0","00","00","01","005","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
"576","0576","991","1","52","2","09","1","00","00","01","365","83","00","00","00","00","00","00","00","00","00","00","00","00","00"
"577","0577","991","1","50","1","10","4","00","30","01","365","14","00","00","00","00","00","00","00","00","00","00","00","00","00"
"578","0578","991","1","47","1","08","2","00","20","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"579","0579","991","1","52","1","11","1","00","40","01","001","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"580","0580","991","1","00","1","08","2","02","10","06","090","01","01","01","01","01","01","00","00","00","00","00","00","00","00"
"581","0581","991","1","53","1","12","1","00","00","01","060","53","00","00","00","00","00","00","00","00","00","00","00","00","00"
"582","0582","991","1","03","1","00","2","05","00","02","030","01","01","00","00","00","00","00","00","00","00","00","00","00","00"
"583","0583","991","1","00","1","00","0","00","00","01","365","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"584","0584","991","1","52","1","10","1","00","00","01","015","42","00","00","00","00","00","00","00","00","00","00","00","00","00"
"585","0585","991","1","48","1","12","1","00","10","01","060","32","00","00","00","00","00","00","00","00","00","00","00","00","00"
"586","0586","991","1","30","1","09","3","01","10","01","365","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"587","0587","991","1","51","2","10","2","00","00","01","060","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"588","0588","991","1","53","1","11","1","00","20","01","183","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"589","0589","991","1","54","1","12","1","00","00","01","003","81","00","00","00","00","00","00","00","00","00","00","00","00","00"
"590","0590","991","1","49","1","12","1","00","10","01","005","81","00","00","00","00","00","00","00","00","00","00","00","00","00"
"591","0591","991","1","52","1","13","1","00","00","01","030","32","00","00","00","00","00","00","00","00","00","00","00","00","00"
"592","0592","991","1","11","1","03","2","05","10","01","365","84","00","00","00","00","00","00","00","00","00","00","00","00","00"
"593","0593","991","1","51","2","08","1","03","10","01","015","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
"594","0594","991","1","52","1","13","1","00","60","01","030","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"595","0595","991","1","00","1","00","0","00","00","01","080","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"596","0596","991","1","16","2","05","3","04","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"597","0597","991","1","51","1","12","3","01","00","02","155","31","31","00","00","00","00","00","00","00","00","00","00","00","00"
"598","0598","991","1","56","1","10","1","00","00","01","180","61","00","00","00","00","00","00","00","00","00","00","00","00","00"
"599","0599","991","1","00","2","00","0","00","00","01","365","32","00","00","00","00","00","00","00","00","00","00","00","00","00"
"600","0600","991","1","45","2","11","2","04","20","01","365","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"601","0601","991","1","06","1","10","5","04","00","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"602","0602","991","1","25","1","11","1","00","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"603","0603","991","1","46","2","08","3","02","20","01","183","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"604","0604","991","1","55","2","10","1","00","60","01","183","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"605","0605","991","1","26","2","14","3","03","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"606","0606","991","1","47","2","08","1","00","20","01","365","22","00","00","00","00","00","00","00","00","00","00","00","00","00"
"607","0607","991","1","52","1","11","1","00","10","01","010","81","00","00","00","00","00","00","00","00","00","00","00","00","00"
"608","0608","991","1","45","1","14","1","00","00","01","365","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"609","0609","991","1","49","1","12","1","00","00","01","365","12","00","00","00","00","00","00","00","00","00","00","00","00","00"
"610","0610","991","1","45","1","11","4","00","60","01","180","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"611","0611","991","1","52","2","11","1","00","20","01","164","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"612","0612","991","1","50","1","12","1","00","20","01","015","34","00","00","00","00","00","00","00","00","00","00","00","00","00"
"613","0613","991","1","21","1","07","5","00","00","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"614","0614","991","1","46","1","16","4","00","00","01","014","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
"615","0615","991","1","50","1","09","1","00","00","01","180","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"616","0616","991","1","55","2","09","1","00","00","01","090","33","00","00","00","00","00","00","00","00","00","00","00","00","00"
"617","0617","991","1","50","1","08","1","00","00","01","010","13","00","00","00","00","00","00","00","00","00","00","00","00","00"
"618","0618","991","1","30","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"619","0619","991","1","13","1","00","5","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"620","0620","991","1","20","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"621","0621","991","1","26","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"622","0622","991","1","22","2","00","3","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"623","0623","991","1","20","1","00","4","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"624","0624","991","1","23","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"625","0625","991","1","32","1","00","3","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"626","0626","991","1","08","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"627","0627","991","1","28","2","00","4","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"628","0628","991","1","43","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"629","0629","991","1","25","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"630","0630","991","1","18","1","00","4","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"631","0631","991","1","46","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"632","0632","991","1","24","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"633","0633","991","1","18","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"634","0634","991","1","25","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"635","0635","991","1","23","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"636","0636","991","1","50","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"637","0637","991","1","39","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"638","0638","991","1","49","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"639","0639","991","1","47","2","00","4","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"640","0640","991","1","26","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"641","0641","991","1","44","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"642","0642","991","1","46","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"643","0643","991","1","39","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"644","0644","991","1","34","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"645","0645","991","1","49","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"646","0646","991","1","45","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"647","0647","991","1","09","1","00","3","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"648","0648","991","1","38","2","00","4","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"649","0649","991","1","23","2","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"650","0650","991","1","29","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"651","0651","991","1","52","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"652","0652","991","1","37","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"653","0653","991","1","32","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"654","0654","991","1","51","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"655","0655","991","1","27","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"656","0656","991","1","37","1","00","3","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"657","0657","991","1","35","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"658","0658","991","1","48","2","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"659","0659","991","1","12","2","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"660","0660","991","1","21","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"661","0661","991","2","30","1","00","3","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"662","0662","991","1","44","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"663","0663","991","1","34","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"664","0664","991","1","52","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"665","0665","991","1","23","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"666","0666","991","1","14","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"667","0667","991","1","14","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"668","0668","991","1","38","2","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"669","0669","991","1","47","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"670","0670","991","1","41","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"671","0671","991","1","48","1","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"672","0672","991","1","52","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"673","0673","991","1","48","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"674","0674","991","1","49","1","00","1","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"675","0675","991","1","43","2","00","2","00","00","00","000","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
